COUNT,AFFILIATION,AREA,COMMUTE_TYPE,COUNTY,AVGDIST
10,AS,SCI,CARPOOL,25017,12.27065064
13,AS,SCI,DRV,25009,29.80576951
113,AS,SCI,DRV,25017,15.80733321
25,AS,SCI,DRV,25021,15.08077533
17,AS,SCI,DRV,25025,7.017064274
5,AS,SCI,DRV,25027,72.94214946
33,AS,SCI,DRV_T,25017,10.27119697
5,AS,SCI,DRV_T,25021,16.57874228
24,AS,SCI,OTH,25017,13.90717618
11,AS,SCI,UNK,25009,38.78205049
188,AS,SCI,UNK,25017,7.087860401
17,AS,SCI,UNK,25021,5.902606237
44,AS,SCI,UNK,25025,4.19056627
37,AS,SCI,WLK,25017,1.700377059
5,AS,SCI,WLK,25025,1.745850393
9,AS,SCI,WLK_T,25009,31.87118515
221,AS,SCI,WLK_T,25017,6.049848698
33,AS,SCI,WLK_T,25021,12.90839712
42,AS,SCI,WLK_T,25025,4.724644287
7,AS,SCI,WLK_T,25027,72.4009517
51,AS,SLD,BIC,25017,2.575312041
7,AS,SLD,BIC,25025,4.40620632
23,AS,SLD,CARPOOL,25017,14.36500881
6,AS,SLD,CARPOOL,25021,7.68588466
28,AS,SLD,DRV,25009,32.84577949
205,AS,SLD,DRV,25017,15.04693865
44,AS,SLD,DRV,25021,10.80154828
9,AS,SLD,DRV,25023,47.1883964
38,AS,SLD,DRV,25025,7.047344175
7,AS,SLD,DRV,25027,72.77692262
5,AS,SLD,DRV,33015,64.18750537
6,AS,SLD,DRV_T,25009,31.44526628
55,AS,SLD,DRV_T,25017,17.49538392
9,AS,SLD,DRV_T,25021,15.95706969
8,AS,SLD,DRV_T,25025,5.749040614
11,AS,SLD,UNK,25009,36.4589393
221,AS,SLD,UNK,25017,11.18677805
20,AS,SLD,UNK,25021,9.478216645
47,AS,SLD,UNK,25025,4.276626373
6,AS,SLD,UNK,25027,67.07189469
5,AS,SLD,UNK,33011,65.6076863
21,AS,SLD,WLK,25017,1.817724119
